dataset_id,model,mitigation,overall_physionet_utility,female_physionet_utility,male_physionet_utility,missed_rate_gap,alarm_fatigue_rate_gap,disparate_impact,equal_opportunity,equalized_odds,female_median_detection_lead_hours,male_median_detection_lead_hours,female_pct_detected_before_onset,male_pct_detected_before_onset,female_n,female_n_septic,female_prevalence,female_tpr,female_fpr,female_precision,female_f1,female_auroc,female_avg_precision,female_brier,female_ece,female_clinical_utility,female_mean_detection_lead_hours,female_pct_detected_at_all,female_pct_missed,female_alarm_fatigue_rate,male_n,male_n_septic,male_prevalence,male_tpr,male_fpr,male_precision,male_f1,male_auroc,male_avg_precision,male_brier,male_ece,male_clinical_utility,male_mean_detection_lead_hours,male_pct_detected_at_all,male_pct_missed,male_alarm_fatigue_rate,overall_n,overall_n_septic,overall_prevalence,overall_tpr,overall_fpr,overall_precision,overall_f1,overall_auroc,overall_avg_precision,overall_brier,overall_ece,overall_clinical_utility,overall_median_detection_lead_hours,overall_mean_detection_lead_hours,overall_pct_detected_before_onset,overall_pct_detected_at_all,overall_pct_missed,overall_alarm_fatigue_rate,tpr_gap,fpr_gap,auroc_gap,precision_gap,f1_gap,brier_gap,ece_gap,clinical_utility_gap,physionet_utility_gap,median_detection_lead_hours_gap,mean_detection_lead_hours_gap,pct_detected_before_onset_gap,pct_missed_gap,ppv_gap,demographic_parity_diff,equal_opportunity_diff,equalized_odds_diff,sufficiency_diff,equal_opportunity_abs,fl_demographic_parity_diff,fl_equalized_odds_diff,fl_equal_opportunity_diff,early_detection_parity,alarm_fatigue_gap,worst_group_auroc,auroc_drop_from_overall,illusion_of_fairness,utility_threshold,train_utility_at_threshold,n_train_rows,n_test_rows,n_train_patients,n_test_patients,train_prevalence,test_prevalence
D3B,liu_rnn,none,-0.002,0.0506,0.0,,-0.1224,0.2812,0.069,0.1113,-9.5,,0.0,,352,2,0.0824,0.069,0.0402,0.1333,0.0909,0.6836,0.1672,0.0835,0.059,-0.1496,-9.5,100.0,0.0,0.0291,231,0,0.0,0.0,0.1515,0.0,0.0,,,0.0942,0.22,-0.0076,,,,0.1515,583,2,0.0497,0.069,0.0866,0.04,0.0506,0.6216,0.0731,0.0877,0.117,-0.0933,-9.5,-9.5,0.0,100.0,0.0,0.0815,0.069,-0.1113,,0.1333,0.0909,-0.0107,-0.161,-0.142,0.0506,,,,,0.1333,-0.1089,0.069,0.1113,0.1333,0.069,0.1089,0.1113,0.069,,-0.1224,0.6836,-0.0619,0,0.45,0.893,2483,583,68,18,0.0451,0.0497
D0,liu_glm,reweighting,0.3644,0.39,0.0,,0.1044,2.6636,0.4483,0.4483,-7.0,,0.0,,352,2,0.0824,0.4483,0.1734,0.1884,0.2653,0.6533,0.247,0.14,0.2405,-0.0619,-7.0,100.0,0.0,0.178,231,0,0.0,0.0,0.0736,0.0,0.0,,,0.0888,0.2725,-0.0037,,,,0.0736,583,2,0.0497,0.4483,0.1318,0.1512,0.2261,0.6827,0.216,0.1197,0.2532,-0.0389,-7.0,-7.0,0.0,100.0,0.0,0.1333,0.4483,0.0998,,0.1884,0.2653,0.0512,-0.0319,-0.0583,0.39,,,,,0.1884,0.1224,0.4483,0.4483,0.1884,0.4483,0.1224,0.4483,0.4483,,0.1044,0.6533,0.0295,0,0.45,0.6215,2483,583,68,18,0.0451,0.0497
D0,liu_glm,smote,0.327,0.4172,0.0,,-0.0235,1.05,0.5862,0.5862,-10.0,,0.0,,352,2,0.0824,0.5862,0.2446,0.1771,0.272,0.6623,0.2212,0.1511,0.2578,-0.0311,-10.0,100.0,0.0,0.2362,231,0,0.0,0.0,0.2597,0.0,0.0,,,0.1167,0.3007,-0.013,,,,0.2597,583,2,0.0497,0.5862,0.2509,0.109,0.1838,0.6683,0.1815,0.1375,0.2663,-0.0239,-10.0,-10.0,0.0,100.0,0.0,0.2463,0.5862,-0.0152,,0.1771,0.272,0.0344,-0.0429,-0.0181,0.4172,,,,,0.1771,0.013,0.5862,0.5862,0.1771,0.5862,0.013,0.5862,0.5862,,-0.0235,0.6623,0.006,0,0.4,0.6878,2483,583,68,18,0.0451,0.0497
D0,liu_xgboost,reweighting,-0.0015,-0.0015,0.0,,0.0,,0.0,0.0031,-13.0,,0.0,,352,2,0.0824,0.0,0.0031,0.0,0.0,0.682,0.122,0.0824,0.0818,-0.1649,-13.0,50.0,50.0,0.0,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0008,0.007,0.0,,,,0.0,583,2,0.0497,0.0,0.0018,0.0,0.0,0.7109,0.0837,0.0501,0.0491,-0.0996,-13.0,-13.0,0.0,50.0,50.0,0.0,0.0,0.0031,,0.0,0.0,0.0816,0.0748,-0.1649,-0.0015,,,,,0.0,0.0028,0.0,0.0031,0.0,0.0,0.0028,0.0031,0.0,,0.0,0.682,0.0289,0,0.35,1.0,2483,583,68,18,0.0451,0.0497
D0,liu_xgboost,smote,-0.0075,-0.0075,0.0,,0.0097,,0.0,0.0155,-16.0,,0.0,,352,2,0.0824,0.0,0.0155,0.0,0.0,0.7887,0.1652,0.0826,0.0829,-0.1655,-16.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0026,0.0,,,,0.0,583,2,0.0497,0.0,0.009,0.0,0.0,0.8217,0.1227,0.0499,0.049,-0.0999,-16.0,-16.0,0.0,50.0,50.0,0.0056,0.0,0.0155,,0.0,0.0,0.0825,0.0803,-0.1655,-0.0075,,,,,0.0,0.0142,0.0,0.0155,0.0,0.0,0.0142,0.0155,0.0,,0.0097,0.7887,0.0329,0,0.2,1.0,2483,583,68,18,0.0451,0.0497
D0,liu_rnn,reweighting,0.1805,0.2195,0.0,,-0.0737,0.5048,0.1724,0.1724,-7.5,,0.0,,352,2,0.0824,0.1724,0.0464,0.25,0.2041,0.6913,0.2623,0.0804,0.0787,-0.1243,-7.5,100.0,0.0,0.0388,231,0,0.0,0.0,0.1126,0.0,0.0,,,0.0868,0.2128,-0.0056,,,,0.1126,583,2,0.0497,0.1724,0.074,0.1087,0.1333,0.6568,0.1404,0.0829,0.1268,-0.0773,-7.5,-7.5,0.0,100.0,0.0,0.0704,0.1724,-0.0661,,0.25,0.2041,-0.0064,-0.1342,-0.1187,0.2195,,,,,0.25,-0.0557,0.1724,0.1724,0.25,0.1724,0.0557,0.1724,0.1724,,-0.0737,0.6913,-0.0345,0,0.45,0.8857,2483,583,68,18,0.0451,0.0497
D0,liu_rnn,smote,0.1603,0.1948,0.0,,-0.064,0.5992,0.1379,0.1379,-17.0,,0.0,,352,2,0.0824,0.1379,0.0526,0.1905,0.16,0.5232,0.1946,0.1305,0.1835,-0.1331,-17.0,50.0,50.0,0.0356,231,0,0.0,0.0,0.0996,0.0,0.0,,,0.142,0.3088,-0.005,,,,0.0996,583,2,0.0497,0.1379,0.0722,0.0909,0.1096,0.5031,0.1525,0.135,0.2284,-0.0823,-17.0,-17.0,0.0,50.0,50.0,0.063,0.1379,-0.0469,,0.1905,0.16,-0.0115,-0.1253,-0.1281,0.1948,,,,,0.1905,-0.0399,0.1379,0.1379,0.1905,0.1379,0.0399,0.1379,0.1379,,-0.064,0.5232,-0.0201,0,0.6,0.8407,2483,583,68,18,0.0451,0.0497
D1A,liu_glm,reweighting,0.1258,0.0,0.1581,,0.1885,18.9423,-0.2,0.2,,-2.0,,0.0,52,0,0.0,0.0,0.1923,0.0,0.0,,,0.1815,0.3888,-0.0096,,,,0.1923,394,1,0.0381,0.2,0.0026,0.75,0.3158,0.9205,0.3682,0.0464,0.1279,-0.0534,-2.0,100.0,0.0,0.0038,446,1,0.0336,0.2,0.0255,0.2143,0.2069,0.8605,0.1357,0.0622,0.1524,-0.0483,-2.0,-2.0,0.0,100.0,0.0,0.035,-0.2,0.1897,,-0.75,-0.3158,0.135,0.2609,0.0438,-0.1581,,,,,-0.75,0.1822,0.2,0.2,0.75,0.2,0.1822,0.2,0.2,,0.1885,,,0,0.5,0.8837,1609,446,43,11,0.0242,0.0336
D1A,liu_glm,smote,-0.0258,0.0,-0.0032,,0.1308,53.0385,0.0,0.132,,,,,52,0,0.0,0.0,0.1346,0.0,0.0,,,0.1289,0.3101,-0.0067,,,,0.1346,394,1,0.0381,0.0,0.0026,0.0,0.0,0.9207,0.2274,0.0377,0.0624,-0.0763,,0.0,100.0,0.0038,446,1,0.0336,0.0,0.0186,0.0,0.0,0.8622,0.1126,0.0484,0.0877,-0.0682,,,,0.0,100.0,0.0255,0.0,0.132,,0.0,0.0,0.0912,0.2477,0.0695,0.0032,,,,,0.0,0.1321,0.0,0.132,0.0,0.0,0.1321,0.132,0.0,,0.1308,,,0,0.55,0.8746,1609,446,43,11,0.0242,0.0336
D1A,liu_xgboost,reweighting,0.0538,0.0,0.0538,,0.0,0.0,-0.0667,0.0667,,-1.0,,0.0,52,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0039,0.0,,,,0.0,394,1,0.0381,0.0667,0.0,1.0,0.125,0.6452,0.1533,0.0358,0.034,-0.0685,-1.0,100.0,0.0,0.0,446,1,0.0336,0.0667,0.0,1.0,0.125,0.6255,0.1464,0.0317,0.0296,-0.0605,-1.0,-1.0,0.0,100.0,0.0,0.0,-0.0667,0.0,,-1.0,-0.125,-0.0358,-0.0301,0.0685,-0.0538,,,,,-1.0,-0.0025,0.0667,0.0667,1.0,0.0667,0.0025,0.0667,0.0667,,0.0,,,0,0.2,1.0,1609,446,43,11,0.0242,0.0336
D1A,liu_xgboost,smote,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,52,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0009,0.0,,,,0.0,394,1,0.0381,0.0,0.0,0.0,0.0,0.7168,0.0673,0.038,0.0367,-0.0761,,0.0,100.0,0.0,446,1,0.0336,0.0,0.0,0.0,0.0,0.6996,0.0569,0.0336,0.0323,-0.0673,,,,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,-0.038,-0.0358,0.0761,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0,0.15,1.0,1609,446,43,11,0.0242,0.0336
D1A,liu_rnn,reweighting,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,52,0,0.0,0.0,0.0,0.0,0.0,,,0.196,0.4319,0.0,,,,0.0,394,1,0.0381,0.0,0.0,0.0,0.0,0.4162,0.0864,0.0895,0.2311,-0.0761,,0.0,100.0,0.0,446,1,0.0336,0.0,0.0,0.0,0.0,0.3918,0.0541,0.1019,0.2545,-0.0673,,,,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.1065,0.2009,0.0761,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0,0.8,0.9049,1609,446,43,11,0.0242,0.0336
D1A,liu_rnn,smote,-0.0161,0.0,-0.0161,,-0.0191,0.0,0.0,0.0132,,,,,52,0,0.0,0.0,0.0,0.0,0.0,,,0.0193,0.11,0.0,,,,0.0,394,1,0.0381,0.0,0.0132,0.0,0.0,0.4273,0.0418,0.0458,0.0331,-0.0768,,0.0,100.0,0.0191,446,1,0.0336,0.0,0.0116,0.0,0.0,0.4043,0.0345,0.0427,0.038,-0.0678,,,,0.0,100.0,0.0159,0.0,-0.0132,,0.0,0.0,-0.0264,0.0769,0.0768,0.0161,,,,,0.0,-0.0127,0.0,0.0132,0.0,0.0,0.0127,0.0132,0.0,,-0.0191,,,0,0.45,0.9899,1609,446,43,11,0.0242,0.0336
D1B,liu_glm,reweighting,0.3516,0.3651,0.0,,0.2925,2.9674,0.4138,0.4138,-19.0,,0.0,,215,2,0.1349,0.4138,0.4677,0.1212,0.1875,0.4459,0.2125,0.1591,0.2119,-0.1226,-19.0,50.0,50.0,0.4477,58,0,0.0,0.0,0.1552,0.0,0.0,,,0.0596,0.2381,-0.0078,,,,0.1552,273,2,0.1062,0.4138,0.3934,0.1111,0.1752,0.4741,0.1996,0.138,0.2037,-0.0982,-19.0,-19.0,0.0,50.0,50.0,0.3739,0.4138,0.3126,,0.1212,0.1875,0.0995,-0.0262,-0.1148,0.3651,,,,,0.1212,0.3053,0.4138,0.4138,0.1212,0.4138,0.3053,0.4138,0.4138,,0.2925,0.4459,0.0283,0,0.3,0.6638,1591,273,43,11,0.0591,0.1062
D1B,liu_glm,smote,0.3726,0.3726,0.0,,0.4302,,0.4138,0.4409,-19.0,,0.0,,215,2,0.1349,0.4138,0.4409,0.1277,0.1951,0.4188,0.1761,0.1939,0.2402,-0.1214,-19.0,50.0,50.0,0.4302,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0427,0.1955,0.0,,,,0.0,273,2,0.1062,0.4138,0.3361,0.1277,0.1951,0.4504,0.1627,0.1618,0.229,-0.0956,-19.0,-19.0,0.0,50.0,50.0,0.3217,0.4138,0.4409,,0.1277,0.1951,0.1512,0.0447,-0.1214,0.3726,,,,,0.1277,0.4372,0.4138,0.4409,0.1277,0.4138,0.4372,0.4409,0.4138,,0.4302,0.4188,0.0316,0,0.35,0.7789,1591,273,43,11,0.0591,0.1062
D1B,liu_xgboost,reweighting,-0.012,-0.012,0.0,,0.0465,,0.0,0.043,,,,,215,2,0.1349,0.0,0.043,0.0,0.0,0.3337,0.0991,0.1587,0.1744,-0.2716,,0.0,100.0,0.0465,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0005,0.0,,,,0.0,273,2,0.1062,0.0,0.0328,0.0,0.0,0.4178,0.0874,0.125,0.1372,-0.2139,,,,0.0,100.0,0.0348,0.0,0.043,,0.0,0.0,0.1587,0.1739,-0.2716,-0.012,,,,,0.0,0.0372,0.0,0.043,0.0,0.0,0.0372,0.043,0.0,,0.0465,0.3337,0.084,0,0.4,1.0,1591,273,43,11,0.0591,0.1062
D1B,liu_xgboost,smote,-0.0135,-0.0135,0.0,,0.0349,,0.0,0.0484,-16.0,,0.0,,215,2,0.1349,0.0,0.0484,0.0,0.0,0.4399,0.1154,0.1433,0.148,-0.2719,-16.0,50.0,50.0,0.0349,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0004,0.0,,,,0.0,273,2,0.1062,0.0,0.0369,0.0,0.0,0.5143,0.1043,0.1129,0.1165,-0.2141,-16.0,-16.0,0.0,50.0,50.0,0.0261,0.0,0.0484,,0.0,0.0,0.1433,0.1476,-0.2719,-0.0135,,,,,0.0,0.0419,0.0,0.0484,0.0,0.0,0.0419,0.0484,0.0,,0.0349,0.4399,0.0743,0,0.15,1.0,1591,273,43,11,0.0591,0.1062
D1B,liu_rnn,reweighting,0.1162,0.1162,0.0,,0.1744,,0.1034,0.1935,-17.0,,0.0,,215,2,0.1349,0.1034,0.1935,0.0769,0.0882,0.4807,0.2175,0.2226,0.222,-0.2363,-17.0,50.0,50.0,0.1744,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0181,0.114,0.0,,,,0.0,273,2,0.1062,0.1034,0.1475,0.0769,0.0882,0.5293,0.2046,0.1791,0.168,-0.1861,-17.0,-17.0,0.0,50.0,50.0,0.1304,0.1034,0.1935,,0.0769,0.0882,0.2044,0.108,-0.2363,0.1162,,,,,0.0769,0.1814,0.1034,0.1935,0.0769,0.1034,0.1814,0.1935,0.1034,,0.1744,0.4807,0.0485,0,0.55,0.904,1591,273,43,11,0.0591,0.1062
D1B,liu_rnn,smote,0.118,0.1195,0.0,,0.2735,16.186,0.1379,0.2838,-8.0,,50.0,,215,2,0.1349,0.1379,0.3011,0.0667,0.0899,0.4347,0.2,0.2268,0.261,-0.227,-8.0,100.0,0.0,0.2907,58,0,0.0,0.0,0.0172,0.0,0.0,,,0.0124,0.0674,-0.0009,,,,0.0172,273,2,0.1062,0.1379,0.2336,0.0656,0.0889,0.4959,0.1888,0.1813,0.1984,-0.1789,-8.0,-8.0,50.0,100.0,0.0,0.2217,0.1379,0.2838,,0.0667,0.0899,0.2145,0.1936,-0.2261,0.1195,,,,,0.0667,0.2618,0.1379,0.2838,0.0667,0.1379,0.2618,0.2838,0.1379,,0.2735,0.4347,0.0612,0,0.4,0.9439,1591,273,43,11,0.0591,0.1062
D2A,liu_glm,reweighting,0.3644,0.39,0.0,,0.1044,2.6636,0.4483,0.4483,-7.0,,0.0,,352,2,0.0824,0.4483,0.1734,0.1884,0.2653,0.6533,0.247,0.14,0.2405,-0.0619,-7.0,100.0,0.0,0.178,231,0,0.0,0.0,0.0736,0.0,0.0,,,0.0888,0.2725,-0.0037,,,,0.0736,583,2,0.0497,0.4483,0.1318,0.1512,0.2261,0.6827,0.216,0.1197,0.2532,-0.0389,-7.0,-7.0,0.0,100.0,0.0,0.1333,0.4483,0.0998,,0.1884,0.2653,0.0512,-0.0319,-0.0583,0.39,,,,,0.1884,0.1224,0.4483,0.4483,0.1884,0.4483,0.1224,0.4483,0.4483,,0.1044,0.6533,0.0295,0,0.45,0.6215,2483,583,68,18,0.0451,0.0497
D2A,liu_glm,smote,0.3301,0.4202,0.0,,-0.03,1.0281,0.5862,0.5862,-10.0,,0.0,,352,2,0.0824,0.5862,0.2384,0.1809,0.2764,0.666,0.2251,0.1498,0.2519,-0.0308,-10.0,100.0,0.0,0.2298,231,0,0.0,0.0,0.2597,0.0,0.0,,,0.1168,0.3009,-0.013,,,,0.2597,583,2,0.0497,0.5862,0.2473,0.1104,0.1858,0.672,0.1849,0.1367,0.2652,-0.0238,-10.0,-10.0,0.0,100.0,0.0,0.2426,0.5862,-0.0214,,0.1809,0.2764,0.033,-0.049,-0.0178,0.4202,,,,,0.1809,0.0073,0.5862,0.5862,0.1809,0.5862,0.0073,0.5862,0.5862,,-0.03,0.666,0.0061,0,0.4,0.685,2483,583,68,18,0.0451,0.0497
D2A,liu_xgboost,reweighting,-0.003,-0.003,0.0,,0.0,,0.0,0.0062,-16.0,,0.0,,352,2,0.0824,0.0,0.0062,0.0,0.0,0.668,0.1185,0.0826,0.078,-0.1651,-16.0,50.0,50.0,0.0,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0008,0.0068,0.0,,,,0.0,583,2,0.0497,0.0,0.0036,0.0,0.0,0.689,0.079,0.0502,0.0464,-0.0997,-16.0,-16.0,0.0,50.0,50.0,0.0,0.0,0.0062,,0.0,0.0,0.0818,0.0711,-0.1651,-0.003,,,,,0.0,0.0057,0.0,0.0062,0.0,0.0,0.0057,0.0062,0.0,,0.0,0.668,0.021,0,0.35,1.0,2483,583,68,18,0.0451,0.0497
D2A,liu_xgboost,smote,-0.0075,-0.0075,0.0,,0.0065,,0.0,0.0155,-16.0,,0.0,,352,2,0.0824,0.0,0.0155,0.0,0.0,0.7571,0.1474,0.0838,0.0852,-0.1655,-16.0,50.0,50.0,0.0065,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0001,0.0027,0.0,,,,0.0,583,2,0.0497,0.0,0.009,0.0,0.0,0.7844,0.1039,0.0506,0.0504,-0.0999,-16.0,-16.0,0.0,50.0,50.0,0.0037,0.0,0.0155,,0.0,0.0,0.0837,0.0825,-0.1655,-0.0075,,,,,0.0,0.0142,0.0,0.0155,0.0,0.0,0.0142,0.0155,0.0,,0.0065,0.7571,0.0273,0,0.2,1.0,2483,583,68,18,0.0451,0.0497
D2A,liu_rnn,reweighting,0.0416,0.0596,0.0,,-0.039,0.4922,0.069,0.069,-9.0,,0.0,,352,2,0.0824,0.069,0.0217,0.2222,0.1053,0.7331,0.2476,0.0799,0.0716,-0.1487,-9.0,100.0,0.0,0.0129,231,0,0.0,0.0,0.0519,0.0,0.0,,,0.0751,0.1985,-0.0026,,,,0.0519,583,2,0.0497,0.069,0.0343,0.0952,0.08,0.6956,0.1172,0.078,0.1178,-0.0908,-9.0,-9.0,0.0,100.0,0.0,0.0296,0.069,-0.0303,,0.2222,0.1053,0.0047,-0.1269,-0.1461,0.0596,,,,,0.2222,-0.0264,0.069,0.069,0.2222,0.069,0.0264,0.069,0.069,,-0.039,0.7331,-0.0375,0,0.6,0.8654,2483,583,68,18,0.0451,0.0497
D2A,liu_rnn,smote,0.1297,0.1628,0.0,,-0.0855,0.2386,0.1034,0.1034,-14.0,,0.0,,352,2,0.0824,0.1034,0.0155,0.375,0.1622,0.6622,0.2384,0.0843,0.0531,-0.1399,-14.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0952,0.0,0.0,,,0.0862,0.1931,-0.0048,,,,0.0952,583,2,0.0497,0.1034,0.0487,0.1,0.1017,0.6097,0.1547,0.0851,0.0977,-0.0864,-14.0,-14.0,0.0,50.0,50.0,0.0463,0.1034,-0.0798,,0.375,0.1622,-0.0019,-0.14,-0.1352,0.1628,,,,,0.375,-0.0725,0.1034,0.1034,0.375,0.1034,0.0725,0.1034,0.1034,,-0.0855,0.6622,-0.0525,0,0.55,0.9153,2483,583,68,18,0.0451,0.0497
D2B,liu_glm,reweighting,0.3644,0.39,0.0,,0.1044,2.6636,0.4483,0.4483,-7.0,,0.0,,352,2,0.0824,0.4483,0.1734,0.1884,0.2653,0.6533,0.247,0.14,0.2405,-0.0619,-7.0,100.0,0.0,0.178,231,0,0.0,0.0,0.0736,0.0,0.0,,,0.0888,0.2725,-0.0037,,,,0.0736,583,2,0.0497,0.4483,0.1318,0.1512,0.2261,0.6827,0.216,0.1197,0.2532,-0.0389,-7.0,-7.0,0.0,100.0,0.0,0.1333,0.4483,0.0998,,0.1884,0.2653,0.0512,-0.0319,-0.0583,0.39,,,,,0.1884,0.1224,0.4483,0.4483,0.1884,0.4483,0.1224,0.4483,0.4483,,0.1044,0.6533,0.0295,0,0.45,0.6215,2483,583,68,18,0.0451,0.0497
D2B,liu_glm,smote,0.3316,0.4187,0.0,,-0.0148,1.0749,0.5862,0.5862,-10.0,,0.0,,352,2,0.0824,0.5862,0.2415,0.1789,0.2742,0.6583,0.2182,0.1516,0.2571,-0.031,-10.0,100.0,0.0,0.2362,231,0,0.0,0.0,0.2511,0.0,0.0,,,0.117,0.3012,-0.0126,,,,0.2511,583,2,0.0497,0.5862,0.2455,0.1111,0.1868,0.6643,0.1784,0.1379,0.266,-0.0237,-10.0,-10.0,0.0,100.0,0.0,0.2426,0.5862,-0.0096,,0.1789,0.2742,0.0345,-0.0441,-0.0184,0.4187,,,,,0.1789,0.0188,0.5862,0.5862,0.1789,0.5862,0.0188,0.5862,0.5862,,-0.0148,0.6583,0.0061,0,0.4,0.6862,2483,583,68,18,0.0451,0.0497
D2B,liu_xgboost,reweighting,-0.003,-0.003,0.0,,0.0,,0.0,0.0062,-16.0,,0.0,,352,2,0.0824,0.0,0.0062,0.0,0.0,0.7179,0.1389,0.0827,0.0791,-0.1651,-16.0,50.0,50.0,0.0,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0006,0.0063,0.0,,,,0.0,583,2,0.0497,0.0,0.0036,0.0,0.0,0.7352,0.0937,0.0502,0.046,-0.0997,-16.0,-16.0,0.0,50.0,50.0,0.0,0.0,0.0062,,0.0,0.0,0.0821,0.0728,-0.1651,-0.003,,,,,0.0,0.0057,0.0,0.0062,0.0,0.0,0.0057,0.0062,0.0,,0.0,0.7179,0.0172,0,0.3,1.0,2483,583,68,18,0.0451,0.0497
D2B,liu_xgboost,smote,-0.009,-0.009,0.0,,0.0097,,0.0,0.0186,-16.0,,0.0,,352,2,0.0824,0.0,0.0186,0.0,0.0,0.7758,0.1568,0.0842,0.0861,-0.1656,-16.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0025,0.0,,,,0.0,583,2,0.0497,0.0,0.0108,0.0,0.0,0.808,0.1146,0.0508,0.051,-0.1,-16.0,-16.0,0.0,50.0,50.0,0.0056,0.0,0.0186,,0.0,0.0,0.0841,0.0836,-0.1656,-0.009,,,,,0.0,0.017,0.0,0.0186,0.0,0.0,0.017,0.0186,0.0,,0.0097,0.7758,0.0322,0,0.2,1.0,2483,583,68,18,0.0451,0.0497
D2B,liu_rnn,reweighting,0.28,0.319,0.0,,-0.0899,0.53,0.3448,0.3448,-15.0,,0.0,,352,2,0.0824,0.3448,0.0341,0.4762,0.4,0.7155,0.2807,0.0796,0.081,-0.0811,-15.0,50.0,50.0,0.0227,231,0,0.0,0.0,0.1126,0.0,0.0,,,0.0885,0.2148,-0.0056,,,,0.1126,583,2,0.0497,0.3448,0.0668,0.2128,0.2632,0.6822,0.1262,0.0831,0.1308,-0.0512,-15.0,-15.0,0.0,50.0,50.0,0.0611,0.3448,-0.0785,,0.4762,0.4,-0.0089,-0.1337,-0.0755,0.319,,,,,0.4762,-0.0529,0.3448,0.3448,0.4762,0.3448,0.0529,0.3448,0.3448,,-0.0899,0.7155,-0.0332,0,0.5,0.8892,2483,583,68,18,0.0451,0.0497
D2B,liu_rnn,smote,0.1267,0.1553,0.0,,-0.0628,0.449,0.1034,0.1034,-16.0,,0.0,,352,2,0.0824,0.1034,0.031,0.2308,0.1429,0.635,0.2248,0.0972,0.0931,-0.1406,-16.0,50.0,50.0,0.0194,231,0,0.0,0.0,0.0823,0.0,0.0,,,0.1022,0.2343,-0.0041,,,,0.0823,583,2,0.0497,0.1034,0.0523,0.0938,0.0984,0.5952,0.1641,0.0992,0.1471,-0.0865,-16.0,-16.0,0.0,50.0,50.0,0.0463,0.1034,-0.0513,,0.2308,0.1429,-0.005,-0.1413,-0.1365,0.1553,,,,,0.2308,-0.0453,0.1034,0.1034,0.2308,0.1034,0.0453,0.1034,0.1034,,-0.0628,0.635,-0.0398,0,0.6,0.9005,2483,583,68,18,0.0451,0.0497
D3A,liu_glm,reweighting,0.3644,0.39,0.0,,0.1044,2.6636,0.4483,0.4483,-7.0,,0.0,,352,2,0.0824,0.4483,0.1734,0.1884,0.2653,0.6533,0.247,0.14,0.2405,-0.0619,-7.0,100.0,0.0,0.178,231,0,0.0,0.0,0.0736,0.0,0.0,,,0.0888,0.2725,-0.0037,,,,0.0736,583,2,0.0497,0.4483,0.1318,0.1512,0.2261,0.6827,0.216,0.1197,0.2532,-0.0389,-7.0,-7.0,0.0,100.0,0.0,0.1333,0.4483,0.0998,,0.1884,0.2653,0.0512,-0.0319,-0.0583,0.39,,,,,0.1884,0.1224,0.4483,0.4483,0.1884,0.4483,0.1224,0.4483,0.4483,,0.1044,0.6533,0.0295,0,0.45,0.6215,2483,583,68,18,0.0451,0.0497
D3A,liu_glm,smote,0.3285,0.4187,0.0,,-0.0267,1.0391,0.5862,0.5862,-10.0,,0.0,,352,2,0.0824,0.5862,0.2415,0.1789,0.2742,0.6631,0.2218,0.1503,0.2468,-0.031,-10.0,100.0,0.0,0.233,231,0,0.0,0.0,0.2597,0.0,0.0,,,0.1179,0.3027,-0.013,,,,0.2597,583,2,0.0497,0.5862,0.2491,0.1097,0.1848,0.6687,0.1801,0.1374,0.2662,-0.0238,-10.0,-10.0,0.0,100.0,0.0,0.2444,0.5862,-0.0183,,0.1789,0.2742,0.0324,-0.0559,-0.018,0.4187,,,,,0.1789,0.0101,0.5862,0.5862,0.1789,0.5862,0.0101,0.5862,0.5862,,-0.0267,0.6631,0.0057,0,0.4,0.6854,2483,583,68,18,0.0451,0.0497
D3A,liu_xgboost,reweighting,-0.0015,-0.0015,0.0,,0.0,,0.0,0.0031,-13.0,,0.0,,352,2,0.0824,0.0,0.0031,0.0,0.0,0.695,0.1301,0.0822,0.0823,-0.1649,-13.0,50.0,50.0,0.0,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0006,0.0068,0.0,,,,0.0,583,2,0.0497,0.0,0.0018,0.0,0.0,0.7182,0.0882,0.0498,0.049,-0.0996,-13.0,-13.0,0.0,50.0,50.0,0.0,0.0,0.0031,,0.0,0.0,0.0816,0.0754,-0.1649,-0.0015,,,,,0.0,0.0028,0.0,0.0031,0.0,0.0,0.0028,0.0031,0.0,,0.0,0.695,0.0232,0,0.35,1.0,2483,583,68,18,0.0451,0.0497
