dataset_id,model,mitigation,overall_physionet_utility,female_physionet_utility,male_physionet_utility,missed_rate_gap,alarm_fatigue_rate_gap,disparate_impact,equal_opportunity,equalized_odds,female_median_detection_lead_hours,male_median_detection_lead_hours,female_pct_detected_before_onset,male_pct_detected_before_onset,female_n,female_n_septic,female_prevalence,female_tpr,female_fpr,female_precision,female_f1,female_auroc,female_avg_precision,female_brier,female_ece,female_clinical_utility,female_mean_detection_lead_hours,female_pct_detected_at_all,female_pct_missed,female_alarm_fatigue_rate,male_n,male_n_septic,male_prevalence,male_tpr,male_fpr,male_precision,male_f1,male_auroc,male_avg_precision,male_brier,male_ece,male_clinical_utility,male_mean_detection_lead_hours,male_pct_detected_at_all,male_pct_missed,male_alarm_fatigue_rate,overall_n,overall_n_septic,overall_prevalence,overall_tpr,overall_fpr,overall_precision,overall_f1,overall_auroc,overall_avg_precision,overall_brier,overall_ece,overall_clinical_utility,overall_median_detection_lead_hours,overall_mean_detection_lead_hours,overall_pct_detected_before_onset,overall_pct_detected_at_all,overall_pct_missed,overall_alarm_fatigue_rate,tpr_gap,fpr_gap,auroc_gap,precision_gap,f1_gap,brier_gap,ece_gap,clinical_utility_gap,physionet_utility_gap,median_detection_lead_hours_gap,mean_detection_lead_hours_gap,pct_detected_before_onset_gap,pct_missed_gap,ppv_gap,demographic_parity_diff,equal_opportunity_diff,equalized_odds_diff,sufficiency_diff,equal_opportunity_abs,fl_demographic_parity_diff,fl_equalized_odds_diff,fl_equal_opportunity_diff,early_detection_parity,alarm_fatigue_gap,worst_group_auroc,auroc_drop_from_overall,illusion_of_fairness,utility_threshold,train_utility_at_threshold,n_train_rows,n_test_rows,n_train_patients,n_test_patients,train_prevalence,test_prevalence
D2A,liu_xgboost,none,-0.0105,-0.0105,0.0,,0.0162,,0.0,0.0217,-16.0,,0.0,,352,2,0.0824,0.0,0.0217,0.0,0.0,0.6987,0.1234,0.0837,0.0867,-0.1658,-16.0,50.0,50.0,0.0162,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0001,0.0027,0.0,,,,0.0,583,2,0.0497,0.0,0.0126,0.0,0.0,0.742,0.0889,0.0506,0.0513,-0.1001,-16.0,-16.0,0.0,50.0,50.0,0.0093,0.0,0.0217,,0.0,0.0,0.0837,0.0841,-0.1658,-0.0105,,,,,0.0,0.0199,0.0,0.0217,0.0,0.0,0.0199,0.0217,0.0,,0.0162,0.6987,0.0433,0,0.15,1.0,2483,583,68,18,0.0451,0.0497
D2A,liu_rnn,none,0.0301,0.0496,0.0,,-0.0433,0.4038,0.0345,0.0346,-14.0,,0.0,,352,2,0.0824,0.0345,0.0217,0.125,0.0541,0.7018,0.2083,0.0865,0.0645,-0.1572,-14.0,50.0,50.0,0.0129,231,0,0.0,0.0,0.0563,0.0,0.0,,,0.0827,0.2029,-0.0028,,,,0.0563,583,2,0.0497,0.0345,0.0361,0.0476,0.04,0.6591,0.117,0.085,0.1191,-0.0961,-14.0,-14.0,0.0,50.0,50.0,0.0315,0.0345,-0.0346,,0.125,0.0541,0.0038,-0.1384,-0.1544,0.0496,,,,,0.125,-0.0335,0.0345,0.0346,0.125,0.0345,0.0335,0.0346,0.0345,,-0.0433,0.7018,-0.0427,0,0.6,0.8962,2483,583,68,18,0.0451,0.0497
D2B,liu_glm,none,0.4282,0.4523,0.0,,0.0828,2.666,0.5517,0.5517,-7.0,,0.0,,352,2,0.0824,0.5517,0.1517,0.2462,0.3404,0.6819,0.2673,0.1552,0.2674,-0.0354,-7.0,100.0,0.0,0.1521,231,0,0.0,0.0,0.0693,0.0,0.0,,,0.117,0.3122,-0.0035,,,,0.0693,583,2,0.0497,0.5517,0.1173,0.1975,0.2909,0.7014,0.2316,0.14,0.2852,-0.0227,-7.0,-7.0,0.0,100.0,0.0,0.1167,0.5517,0.0824,,0.2462,0.3404,0.0381,-0.0448,-0.0319,0.4523,,,,,0.2462,0.1154,0.5517,0.5517,0.2462,0.5517,0.1154,0.5517,0.5517,,0.0828,0.6819,0.0195,0,0.5,0.6365,2483,583,68,18,0.0451,0.0497
D2B,liu_xgboost,none,-0.006,-0.006,0.0,,0.0097,,0.0,0.0124,-16.0,,0.0,,352,2,0.0824,0.0,0.0124,0.0,0.0,0.7017,0.1244,0.0837,0.0843,-0.1653,-16.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0023,0.0,,,,0.0,583,2,0.0497,0.0,0.0072,0.0,0.0,0.7475,0.0905,0.0505,0.05,-0.0998,-16.0,-16.0,0.0,50.0,50.0,0.0056,0.0,0.0124,,0.0,0.0,0.0836,0.0819,-0.1653,-0.006,,,,,0.0,0.0114,0.0,0.0124,0.0,0.0,0.0114,0.0124,0.0,,0.0097,0.7017,0.0458,0,0.2,1.0,2483,583,68,18,0.0451,0.0497
D2B,liu_rnn,none,0.1689,0.2005,0.0,,-0.065,0.4687,0.1379,0.1379,-14.0,,0.0,,352,2,0.0824,0.1379,0.0341,0.2667,0.1818,0.693,0.2395,0.0827,0.0673,-0.1322,-14.0,50.0,50.0,0.0259,231,0,0.0,0.0,0.0909,0.0,0.0,,,0.0824,0.2077,-0.0045,,,,0.0909,583,2,0.0497,0.1379,0.0578,0.1111,0.1231,0.6549,0.1321,0.0826,0.1227,-0.0816,-14.0,-14.0,0.0,50.0,50.0,0.0537,0.1379,-0.0569,,0.2667,0.1818,0.0003,-0.1404,-0.1277,0.2005,,,,,0.2667,-0.0483,0.1379,0.1379,0.2667,0.1379,0.0483,0.1379,0.1379,,-0.065,0.693,-0.038,0,0.5,0.9026,2483,583,68,18,0.0451,0.0497
D3A,liu_glm,none,0.4282,0.4523,0.0,,0.0828,2.666,0.5517,0.5517,-7.0,,0.0,,352,2,0.0824,0.5517,0.1517,0.2462,0.3404,0.6819,0.2673,0.1552,0.2674,-0.0354,-7.0,100.0,0.0,0.1521,231,0,0.0,0.0,0.0693,0.0,0.0,,,0.117,0.3122,-0.0035,,,,0.0693,583,2,0.0497,0.5517,0.1173,0.1975,0.2909,0.7014,0.2316,0.14,0.2852,-0.0227,-7.0,-7.0,0.0,100.0,0.0,0.1167,0.5517,0.0824,,0.2462,0.3404,0.0381,-0.0448,-0.0319,0.4523,,,,,0.2462,0.1154,0.5517,0.5517,0.2462,0.5517,0.1154,0.5517,0.5517,,0.0828,0.6819,0.0195,0,0.5,0.6365,2483,583,68,18,0.0451,0.0497
D3A,liu_xgboost,none,-0.0105,-0.0105,0.0,,0.0097,,0.0,0.0217,-16.0,,0.0,,352,2,0.0824,0.0,0.0217,0.0,0.0,0.6962,0.1213,0.084,0.0858,-0.1658,-16.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0001,0.0027,0.0,,,,0.0,583,2,0.0497,0.0,0.0126,0.0,0.0,0.7445,0.0884,0.0507,0.0507,-0.1001,-16.0,-16.0,0.0,50.0,50.0,0.0056,0.0,0.0217,,0.0,0.0,0.0839,0.0831,-0.1658,-0.0105,,,,,0.0,0.0199,0.0,0.0217,0.0,0.0,0.0199,0.0217,0.0,,0.0097,0.6962,0.0483,0,0.15,1.0,2483,583,68,18,0.0451,0.0497
D3A,liu_rnn,none,0.0482,0.0873,0.0,,-0.0867,0.3786,0.069,0.0723,-16.0,,0.0,,352,2,0.0824,0.069,0.0402,0.1333,0.0909,0.6456,0.1653,0.0924,0.0805,-0.1496,-16.0,50.0,50.0,0.0259,231,0,0.0,0.0,0.1126,0.0,0.0,,,0.0843,0.2141,-0.0056,,,,0.1126,583,2,0.0497,0.069,0.0704,0.0488,0.0571,0.6077,0.0789,0.0892,0.1334,-0.0925,-16.0,-16.0,0.0,50.0,50.0,0.063,0.069,-0.0723,,0.1333,0.0909,0.0081,-0.1336,-0.1439,0.0873,,,,,0.1333,-0.0699,0.069,0.0723,0.1333,0.069,0.0699,0.0723,0.069,,-0.0867,0.6456,-0.0379,0,0.5,0.8994,2483,583,68,18,0.0451,0.0497
D3B,liu_glm,none,0.4282,0.4523,0.0,,0.0828,2.666,0.5517,0.5517,-7.0,,0.0,,352,2,0.0824,0.5517,0.1517,0.2462,0.3404,0.6819,0.2673,0.1552,0.2674,-0.0354,-7.0,100.0,0.0,0.1521,231,0,0.0,0.0,0.0693,0.0,0.0,,,0.117,0.3122,-0.0035,,,,0.0693,583,2,0.0497,0.5517,0.1173,0.1975,0.2909,0.7014,0.2316,0.14,0.2852,-0.0227,-7.0,-7.0,0.0,100.0,0.0,0.1167,0.5517,0.0824,,0.2462,0.3404,0.0381,-0.0448,-0.0319,0.4523,,,,,0.2462,0.1154,0.5517,0.5517,0.2462,0.5517,0.1154,0.5517,0.5517,,0.0828,0.6819,0.0195,0,0.5,0.6365,2483,583,68,18,0.0451,0.0497
D3B,liu_xgboost,none,-0.018,-0.018,0.0,,0.0259,,0.0,0.0372,-16.0,,0.0,,352,2,0.0824,0.0,0.0372,0.0,0.0,0.6894,0.1196,0.0841,0.0873,-0.1665,-16.0,50.0,50.0,0.0259,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0001,0.0026,0.0,,,,0.0,583,2,0.0497,0.0,0.0217,0.0,0.0,0.7322,0.0851,0.0508,0.0517,-0.1005,-16.0,-16.0,0.0,50.0,50.0,0.0148,0.0,0.0372,,0.0,0.0,0.084,0.0847,-0.1665,-0.018,,,,,0.0,0.0341,0.0,0.0372,0.0,0.0,0.0341,0.0372,0.0,,0.0259,0.6894,0.0428,0,0.15,1.0,2483,583,68,18,0.0451,0.0497
